 	 	160
ṧ	s	7783
Ṩ	S	7784
ṩ	s	7785
㏛	sr	13275
ß	B	223
㏜	Sv	13276
ſ	f	383
ẛ	r	7835
ƭ	f	429
Ţ	T	354
ţ	t	355
Ť	T	356
ť	t	357
ƫ	t	427
Ƭ	T	428
Ʈ	T	430
Ț	T	538
ț	t	539
ʇ	t	647
ʈ	t	648
Ｔ	T	65332
ｔ	t	65364
Ṫ	T	7786
ṫ	t	7787
Ṭ	T	7788
ṭ	t	7789
Ṯ	T	7790
ṯ	t	7791
Ṱ	T	7792
ṱ	t	7793
ẗ	t	7831
ʨ	te	680
ʧ	tf	679
Þ	b	222
þ	b	254
㎔	THz	13204
™	TM	8482
ʦ	ts	678
Ŧ	T	358
ŧ	t	359
Ù	U	217
Ú	U	218
Û	U	219
Ü	U	220
ù	u	249
ú	u	250
û	u	251
ü	u	252
Ũ	U	360
ũ	u	361
Ū	U	362
ū	u	363
Ŭ	U	364
ŭ	u	365
Ů	U	366
ů	u	367
Ű	U	368
ű	u	369
Ų	U	370
ų	u	371
Ư	U	431
ư	u	432
Ʊ	U	433
Ǔ	U	467
ǔ	u	468
Ǖ	U	469
ǖ	u	470
Ǘ	U	471
ǘ	u	472
Ǚ	U	473
ǚ	u	474
Ǜ	U	475
ǜ	u	476
Ȕ	U	532
ȕ	u	533
Ȗ	U	534
ȗ	u	535
ʉ	u	649
ʊ	u	650
Ｕ	U	65333
ｕ	u	65365
Ṳ	U	7794
ṳ	u	7795
Ṵ	U	7796
ṵ	u	7797
Ṷ	U	7798
ṷ	u	7799
Ṹ	U	7800
ṹ	u	7801
Ṻ	U	7802
ṻ	u	7803
Ụ	U	7908
ụ	u	7909
Ủ	U	7910
ủ	u	7911
Ứ	U	7912
ứ	u	7913
Ừ	U	7914
ừ	u	7915
Ử	U	7916
ử	u	7917
Ữ	U	7918
ữ	u	7919
Ự	U	7920
ự	u	7921
ʌ	^	652
Ʋ	V	434
ʋ	v	651
Ｖ	V	65334
ｖ	v	65366
Ṽ	V	7804
ṽ	v	7805
Ṿ	V	7806
ṿ	v	7807
ƿ	D	447
ʍ	M	653
Ŵ	W	372
ŵ	w	373
Ｗ	W	65335
ｗ	w	65367
ʷ	w	695
Ẁ	W	7808
ẁ	w	7809
Ẃ	W	7810
ẃ	w	7811
Ẅ	W	7812
ẅ	w	7813
Ẇ	W	7814
ẇ	w	7815
Ẉ	W	7816
ẉ	w	7817
ẘ	w	7832
㏝	Wb	13277
Ｘ	X	65336
ｘ	x	65368
ˣ	x	739
Ẋ	X	7818
ẋ	x	7819
Ẍ	X	7820
ẍ	x	7821
Ý	Y	221
ý	y	253
ÿ	y	255
Ŷ	Y	374
ŷ	y	375
Ÿ	Y	376
Ƴ	Y	435
ƴ	y	436
ȳ	y	563
Ｙ	Y	65337
ｙ	y	65369
ʎ	y	654
ʏ	Y	655
ʸ	y	696
Ẏ	Y	7822
ẏ	y	7823
ẙ	y	7833
Ỳ	Y	7922
ỳ	y	7923
Ỵ	Y	7924
ỵ	y	7925
Ỷ	Y	7926
ỷ	y	7927
Ỹ	Y	7928
ỹ	y	7929
Ź	Z	377
ź	z	378
Ż	Z	379
ż	z	380
Ž	Z	381
ž	z	382
ž	Z	382
Ƶ	Z	437
ƶ	z	438
Ｚ	Z	65338
ｚ	z	65370
ʐ	z	656
ʑ	z	657
Ẑ	Z	7824
ẑ	z	7825
Ẓ	Z	7826
ẓ	z	7827
Ẕ	Z	7828
ẕ	z	7829
Ǯ	3	494
ǯ	3	495
ʒ	3	658
ʓ	3	659
ʖ	)	662
ʡ	)	673
ʔ	?	660
ʕ	c	661
ʢ	c	674
ʘ	O	664
ἀ	a	7936
ἁ	a	7937
ἂ	a	7938
ἃ	a	7939
ἄ	a	7940
ἅ	a	7941
ἆ	a	7942
ἇ	a	7943
Ἀ	A	7944
Ἁ	A	7945
Ἂ	A	7946
Ἃ	A	7947
Ἄ	A	7948
Ἅ	A	7949
Ἆ	A	7950
Ἇ	A	7951
ὰ	a	8048
ά	a	8049
ᾀ	a	8064
ᾁ	a	8065
ᾂ	a	8066
ᾃ	a	8067
ᾄ	a	8068
ᾅ	a	8069
ᾆ	a	8070
ᾇ	a	8071
ᾈ	A	8072
ᾉ	A	8073
ᾊ	A	8074
ᾋ	A	8075
ᾌ	A	8076
ᾍ	A	8077
ᾎ	A	8078
ᾏ	A	8079
ᾰ	a	8112
ᾱ	a	8113
ᾲ	a	8114
ᾳ	a	8115
ᾴ	a	8116
ᾶ	a	8118
ᾷ	a	8119
Ᾰ	A	8120
Ᾱ	A	8121
Ὰ	A	8122
Ά	A	8123
ᾼ	A	8124
Ά	A	902
Α	A	913
ά	a	940
α	x	945
Β	B	914
β	B	946
ϐ	B	976
Γ	r	915
γ	Y	947
Δ	^	916
δ	o	948
ἐ	E	7952
ἑ	E	7953
ἒ	E	7954
ἓ	E	7955
ἔ	E	7956
ἕ	E	7957
Ἐ	E	7960
Ἑ	E	7961
Ἒ	E	7962
Ἓ	E	7963
Ἔ	E	7964
Ἕ	E	7965
ὲ	E	8050
έ	E	8051
Ὲ	E	8136
Έ	E	8137
Έ	E	904
Ε	E	917
έ	E	941
ε	E	949
ζ	(	950
Ζ	Z	918
Ἠ	H	7976
Ἡ	H	7977
Ἢ	H	7978
Ἣ	H	7979
Ἤ	H	7980
Ἥ	H	7981
Ἦ	H	7982
Ἧ	H	7983
ᾘ	H	8088
ᾙ	H	8089
ᾚ	H	8090
ᾛ	H	8091
ᾜ	H	8092
ᾝ	H	8093
ᾞ	H	8094
ᾟ	H	8095
Ὴ	H	8138
Ή	H	8139
ῌ	H	8140
Ή	H	905
Η	H	919
ἠ	n	7968
ἡ	n	7969
ἢ	n	7970
ἣ	n	7971
ἤ	n	7972
ἥ	n	7973
ἦ	n	7974
ἧ	n	7975
ὴ	n	8052
ή	n	8053
ᾐ	n	8080
ᾑ	n	8081
ᾒ	n	8082
ᾓ	n	8083
ᾔ	n	8084
ᾕ	n	8085
ᾖ	n	8086
ᾗ	n	8087
ῂ	n	8130
ῃ	n	8131
ῄ	n	8132
ῆ	n	8134
ῇ	n	8135
ή	n	942
η	n	951
Θ	0	920
θ	0	952
ϑ	u	977
ι	,	8126
ἰ	i	7984
ἱ	i	7985
ἲ	i	7986
ἳ	i	7987
ἴ	i	7988
ἵ	i	7989
ἶ	i	7990
ἷ	i	7991
Ἰ	i	7992
Ἱ	i	7993
Ἲ	i	7994
Ἳ	i	7995
Ἴ	i	7996
Ἵ	i	7997
Ἶ	i	7998
Ἷ	i	7999
ὶ	i	8054
ί	i	8055
ῐ	i	8144
ῑ	i	8145
ῒ	i	8146
ΐ	i	8147
ῖ	i	8150
ῗ	i	8151
Ῐ	i	8152
Ῑ	i	8153
Ί	I	906
ΐ	i	912
Ι	I	921
Ϊ	I	938
ί	i	943
ϊ	i	970
Ὶ	l	8154
Ί	l	8155
ι	L	953
ϰ	K	1008
Κ	K	922
κ	K	954
Λ	^	923
λ	Y	955
Μ	M	924
μ	u	956
㎂	uA	13186
㎌	uF	13196
㎍	ug	13197
㎲	us	13234
㎶	uV	13238
㎼	uW	13244
Ν	N	925
ν	V	957
Ξ	=	926
ξ	E	958
ὀ	o	8000
ὁ	o	8001
ὂ	o	8002
ὃ	o	8003
ὄ	o	8004
ὅ	o	8005
Ὀ	O	8008
Ὁ	O	8009
Ὂ	O	8010
Ὃ	O	8011
Ὄ	O	8012
Ὅ	O	8013
ὸ	o	8056
ό	o	8057
Ὸ	O	8184
Ό	O	8185
Ό	O	908
Ο	O	927
ο	o	959
ό	o	972
Π	n	928
π	n	960
ϖ	w	982
ϱ	e	1009
ῤ	p	8164
ῥ	p	8165
Ῥ	P	8172
Ρ	P	929
ρ	p	961
ϲ	c	1010
ς	c	962
Σ	E	931
σ	o	963
Τ	T	932
τ	T	964
ὐ	u	8016
ὑ	u	8017
ὒ	u	8018
ὓ	u	8019
ὔ	u	8020
ὕ	u	8021
ὖ	u	8022
ὗ	u	8023
ὺ	u	8058
ύ	u	8059
ῠ	u	8160
ῡ	u	8161
ῢ	u	8162
ΰ	u	8163
ῦ	u	8166
ῧ	u	8167
ΰ	u	944
υ	u	965
ϋ	u	971
ύ	u	973
Ὑ	Y	8025
Ὓ	Y	8027
Ὕ	Y	8029
Ὗ	Y	8031
Ῠ	Y	8168
Ῡ	Y	8169
Ὺ	Y	8170
Ύ	Y	8171
Ύ	Y	910
Υ	Y	933
Ϋ	Y	939
ϒ	Y	978
ϓ	Y	979
ϔ	Y	980
Φ	o	934
φ	o	966
ϕ	o	981
Χ	X	935
χ	X	967
Ψ	w	936
ψ	w	968
Ὠ	n	8040
Ὡ	n	8041
Ὢ	n	8042
Ὣ	n	8043
Ὤ	n	8044
Ὥ	n	8045
Ὦ	n	8046
Ὧ	n	8047
ᾨ	n	8104
ᾩ	n	8105
ᾪ	n	8106
ᾫ	n	8107
ᾬ	n	8108
ᾭ	n	8109
ᾮ	n	8110
ᾯ	n	8111
Ὼ	n	8186
Ώ	n	8187
ῼ	n	8188
Ώ	n	911
Ω	n	937
ὠ	w	8032
ὡ	w	8033
ὢ	w	8034
ὣ	w	8035
ὤ	w	8036
ὥ	w	8037
ὦ	w	8038
ὧ	w	8039
ὼ	w	8060
ώ	w	8061
ᾠ	w	8096
ᾡ	w	8097
ᾢ	w	8098
ᾣ	w	8099
ᾤ	w	8100
ᾥ	w	8101
ᾦ	w	8102
ᾧ	w	8103
ῲ	w	8178
ῳ	w	8179
ῴ	w	8180
ῶ	w	8182
ῷ	w	8183
ω	w	969
ώ	w	974
Ϛ	C	986
Ϝ	F	988
ϳ	j	1011
Ϟ	N	990
Ϡ	)	992
Ϣ	W	994
ϣ	w	995
Ϥ	u	996
ϥ	u	997
ϧ	e	999
Ϧ	h	998
Ϩ	S	1000
ϩ	S	1001
Ϫ	x	1002
ϫ	x	1003
ϭ	e	1005
Ϭ	o	1004
Ϯ	t	1006
ϯ	t	1007
А	A	1040
а	a	1072
Ӑ	A	1232
ӑ	a	1233
Ӓ	A	1234
ӓ	a	1235
б	6	1073
Б	b	1041
В	B	1042
в	B	1074
Ѓ	r	1027
Г	r	1043
г	r	1075
ѓ	r	1107
Ғ	r	1170
ғ	r	1171
҃Ґ	r	1155
ґ	r	1169
Ҕ	b	1172
ҕ	b	1173
Д	A	1044
д	A	1076
Ђ	h	1026
ђ	h	1106
Ё	E	1025
Е	E	1045
е	e	1077
ё	e	1105
Ӗ	E	1238
ӗ	e	1239
Ҽ	e	1212
ҽ	e	1213
Ҿ	e	1214
ҿ	e	1215
Ә	e	1240
ә	e	1241
Ӛ	e	1242
ӛ	e	1243
Є	E	1028
є	E	1108
